Stage Name,Real Name,Group,Instagram,Profile Pic,Kpopping Profile,Bio,ID
Bambam,Kunpimook Bhuwakul,GOT7,https://www.instagram.com/bambam1a/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bambam_Pose_bambampng.png,https://kpopping.com/profiles/artist/234-Bambam,"BamBam (밤밤), born Kunpimook Bhuwakul on May 2,
1997. BamBam originates from Bangkok, Thailand. He was
cast for JYP Entertainment at an early age and was sent to
Korea to train. BamBam's mother is also a huge K-pop fan,
she owns a Korean restaurant in Bangkok.",50
Bang Chan,Chris Bang,Stray Kids,https://www.instagram.com/realstraykids/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_chanside.png,https://kpopping.com/profiles/artist/2633-Bang-Chan,"Bang Chan is a member of the group Stray Kids, under JYP Entertainment. He is also part of the hip-hop rap unit 3RACHA with Stray Kids members Han and Changbin.",51
Baram,Lee Youngjun,Bigstar,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Baram_default_silhouette.png,https://kpopping.com/profiles/artist/1740-Baram,"Baram is a rapper in the group Bigstar. In February of 2017, he announced that he was enlisting.",52
Baro,Cha Sun Woo,B1A4,https://www.instagram.com/baroganatanatda/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_pose(31).png,https://kpopping.com/profiles/artist/939-Baro,"Baro, is a South Korean singer, rapper and actor. He is also a former member of South Korean boy group B1A4.",53
Baron,Choi Chung Hyeob,VAV,https://www.instagram.com/baron.vav/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_baron2.png,https://kpopping.com/profiles/artist/1151-Baron,BaRon (바론) is a Korean pop artist. He is a member of the group VAV.,54
Bawool,Kim Bawool,The King,https://www.instagram.com/theking_wool/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bawool(1).png,https://kpopping.com/profiles/artist/1758-Bawool,Bawool is the maknae of The King,55
Becrux Kwangsu,Kim Kwangsu,Supernova,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Becrux_Kwangsu_default_silhouette.png,https://kpopping.com/profiles/artist/6976-Becrux-Kwangsu,Kwangsu is a member of the South Korean boy group Supernova.,56
Been,Park Young Bin,MVP,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_been.png,https://kpopping.com/profiles/artist/1073-Been,Been (빈) is a South Korean artist under PH Entertainment. He is a sub-vocalist of the Korean pop boy group MVP.,57
Bekah,Rebekah Kim,After School,https://www.instagram.com/xoxobek/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bekah1(1).png,https://kpopping.com/profiles/artist/1846-Bekah,Bekah (베카) is a Korean rapper. She was a member of the girl group After School. She graduated from the group in June 2011 to pursue her original dream of becoming a designer in Hawaii.,58
Bella,Choi Yoon Ah,Elris,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bellaPNG.png,https://kpopping.com/profiles/artist/890-Bella,"She is the leader of Elris she is also vocalist, rapper and dancer. Bella received her stage name from the company as it mean beautiful. Bella was a contestant on YG’s MixNine.",59
